VaccinationDate,age_group,first_dose,second_dose
2021-01-17,40-49,18393,6350
2021-01-17,50-59,21990,7393
2021-01-18,20-29,15011,4758
2021-01-18,80-89,878,12571
2021-01-18,60-69,3942,36391
2021-01-18,70-79,1909,30791
2021-01-18,90+,146,2542
2021-01-18,40-49,20606,11465
2021-01-18,30-39,7316,8119
2021-01-18,0-19,3836,733
2021-01-18,50-59,15882,12806
2021-01-19,80-89,857,15067
2021-01-19,90+,203,3847
2021-01-19,0-19,3125,1109
2021-01-19,30-39,9106,9522
2021-01-19,40-49,25310,13600
2021-01-19,70-79,1939,32854
2021-01-19,60-69,3891,39357
2021-01-19,50-59,14162,15443
2021-01-19,20-29,13986,6688
2021-01-20,90+,139,3383
2021-01-20,30-39,12657,10703
2021-01-20,70-79,1793,32202
2021-01-20,0-19,2921,1334
2021-01-20,20-29,12011,7868
2021-01-20,80-89,811,14385
2021-01-20,40-49,29691,14741
2021-01-20,60-69,3635,40097
2021-01-20,50-59,12873,18661
2021-01-21,90+,213,4015
2021-01-21,30-39,13638,13409
2021-01-21,70-79,2032,32942
2021-01-21,60-69,3840,41916
2021-01-21,40-49,26004,18806
2021-01-21,20-29,9538,9663
2021-01-21,50-59,11063,25707
2021-01-21,80-89,980,15737
2021-01-21,0-19,2270,1741
2021-01-22,30-39,8112,5488
2021-01-22,40-49,15348,8621
2021-01-22,70-79,915,13710
2021-01-22,60-69,2067,18518
2021-01-22,80-89,492,6329
2021-01-22,90+,113,1505
2021-01-22,50-59,5592,12960
2021-01-22,20-29,3857,3060
2021-01-22,0-19,1216,723
2021-01-23,60-69,1571,12435
2021-01-23,70-79,801,9404
2021-01-23,90+,106,1494
2021-01-23,50-59,5953,11294
2021-01-23,40-49,14564,7497
2021-01-23,80-89,385,4946
2021-01-23,0-19,6650,483
2021-01-23,20-29,3473,2153
2021-01-23,30-39,6347,3755
2021-01-24,60-69,3631,33267
2021-01-24,50-59,8479,26990
2021-01-24,40-49,19945,17921
2021-01-24,90+,223,2991
2021-01-24,70-79,1952,24549
2021-01-24,30-39,10547,11632
2021-01-24,0-19,12139,1763
2021-01-24,20-29,11021,8655
2021-01-24,80-89,999,12564
2021-01-25,70-79,2065,22788
2021-01-25,30-39,13353,12280
2021-01-25,0-19,14688,1864
2021-01-25,20-29,15474,9248
2021-01-25,50-59,9561,28205
2021-01-25,80-89,1003,11806
2021-01-25,60-69,3859,30379
2021-01-25,40-49,20478,20025
2021-01-25,90+,251,2573
2021-01-26,20-29,15530,8312
2021-01-26,80-89,924,10407
2021-01-26,0-19,14410,1764
2021-01-26,50-59,8395,25194
