first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-04-05,2020-04-11,NULL,לא ידוע,176,<15,0.0
2020-04-05,2020-04-11,NULL,נקבה,449,21.0,0.0
2020-04-12,2020-04-18,0-19,זכר,3538,314.0,0.0
2020-04-12,2020-04-18,0-19,לא ידוע,27,0.0,0.0
2020-04-12,2020-04-18,0-19,נקבה,3046,355.0,0.0
2020-04-12,2020-04-18,20-24,זכר,3418,185.0,0.0
2020-04-12,2020-04-18,20-24,לא ידוע,16,0.0,0.0
2020-04-12,2020-04-18,20-24,נקבה,2795,170.0,0.0
2020-04-12,2020-04-18,25-29,זכר,3152,118.0,0.0
2020-04-12,2020-04-18,25-29,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,25-29,נקבה,2706,105.0,0.0
2020-04-12,2020-04-18,30-34,זכר,2794,81.0,0.0
2020-04-12,2020-04-18,30-34,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,30-34,נקבה,2416,80.0,0.0
2020-04-12,2020-04-18,35-39,זכר,2359,76.0,0.0
2020-04-12,2020-04-18,35-39,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,35-39,נקבה,2232,55.0,0.0
2020-04-12,2020-04-18,40-44,זכר,2090,66.0,0.0
2020-04-12,2020-04-18,40-44,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,40-44,נקבה,2101,66.0,<15
2020-04-12,2020-04-18,45-49,זכר,1924,78.0,0.0
2020-04-12,2020-04-18,45-49,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,45-49,נקבה,2289,91.0,0.0
2020-04-12,2020-04-18,50-54,זכר,1807,76.0,0.0
2020-04-12,2020-04-18,50-54,לא ידוע,<15,<15,0.0
2020-04-12,2020-04-18,50-54,נקבה,2109,68.0,0.0
2020-04-12,2020-04-18,55-59,זכר,1587,63.0,0.0
2020-04-12,2020-04-18,55-59,נקבה,1964,58.0,0.0
2020-04-12,2020-04-18,60-64,זכר,1582,40.0,<15
2020-04-12,2020-04-18,60-64,לא ידוע,<15,<15,0.0
2020-04-12,2020-04-18,60-64,נקבה,1829,46.0,0.0
2020-04-12,2020-04-18,65-69,זכר,1308,45.0,<15
2020-04-12,2020-04-18,65-69,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,65-69,נקבה,1358,34.0,0.0
2020-04-12,2020-04-18,70-74,זכר,1144,36.0,<15
2020-04-12,2020-04-18,70-74,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,70-74,נקבה,1244,37.0,<15
2020-04-12,2020-04-18,75-79,זכר,771,16.0,<15
2020-04-12,2020-04-18,75-79,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,75-79,נקבה,1035,25.0,<15
2020-04-12,2020-04-18,80+,זכר,2608,47.0,18.0
2020-04-12,2020-04-18,80+,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,80+,נקבה,5966,83.0,26.0
2020-04-12,2020-04-18,NULL,זכר,865,35.0,0.0
2020-04-12,2020-04-18,NULL,לא ידוע,383,<15,0.0
2020-04-12,2020-04-18,NULL,נקבה,1040,24.0,0.0
2020-04-19,2020-04-25,0-19,זכר,4877,334.0,0.0
2020-04-19,2020-04-25,0-19,לא ידוע,156,<15,0.0
2020-04-19,2020-04-25,0-19,נקבה,3933,286.0,0.0
2020-04-19,2020-04-25,20-24,זכר,4161,128.0,0.0
2020-04-19,2020-04-25,20-24,לא ידוע,20,0.0,0.0
2020-04-19,2020-04-25,20-24,נקבה,3164,110.0,0.0
2020-04-19,2020-04-25,25-29,זכר,3522,75.0,0.0
2020-04-19,2020-04-25,25-29,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,25-29,נקבה,3222,85.0,<15
2020-04-19,2020-04-25,30-34,זכר,3147,52.0,0.0
2020-04-19,2020-04-25,30-34,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,30-34,נקבה,2974,50.0,0.0
2020-04-19,2020-04-25,35-39,זכר,2679,46.0,0.0
2020-04-19,2020-04-25,35-39,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,35-39,נקבה,2551,45.0,0.0
2020-04-19,2020-04-25,40-44,זכר,2310,36.0,0.0
2020-04-19,2020-04-25,40-44,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,40-44,נקבה,2447,46.0,0.0
2020-04-19,2020-04-25,45-49,זכר,2173,46.0,<15
2020-04-19,2020-04-25,45-49,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,45-49,נקבה,2512,49.0,0.0
2020-04-19,2020-04-25,50-54,זכר,1792,38.0,0.0
2020-04-19,2020-04-25,50-54,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,50-54,נקבה,2459,34.0,<15
2020-04-19,2020-04-25,55-59,זכר,1688,29.0,<15
2020-04-19,2020-04-25,55-59,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,55-59,נקבה,2205,38.0,<15
2020-04-19,2020-04-25,60-64,זכר,1570,22.0,<15
2020-04-19,2020-04-25,60-64,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,60-64,נקבה,2018,29.0,0.0
2020-04-19,2020-04-25,65-69,זכר,1432,15.0,<15
